grp1_samp1	grp1_samp2	grp1_samp3	grp1_samp4	grp1_samp5	grp1_samp6	grp2_samp1	grp2_samp2	grp2_samp3	grp2_samp4	grp2_samp5	grp2_samp6
gene33_pep7	NA	NA	12441	8696	7020	NA	NA	8169	12179	10823	5024	NA
gene33_pep10	53915	NA	4169	80503	16235	55989	NA	NA	28429	55536	NA	NA
gene33_pep11	1606	NA	1046	NA	1206	NA	3978	NA	1686	4038	4363	NA
gene33_pep12	342353	290085	443204	320053	425788	134571	566380	192667	142580	341750	349688	NA
gene34_pep5	3473	3126	NA	2338	3165	3283	7506	6232	NA	NA	NA	NA
gene34_pep6	1122362	963742	1704782	721579	1006036	1340100	3292476	3605365	3446497	2554290	3513935	3790677
gene35_pep4	36462	68254	NA	36411	NA	10624	64011	27017	50425	NA	3180	67570
gene35_pep6	NA	48536	29064	NA	23395	NA	55891	25128	NA	29170	NA	19085
gene35_pep7	9634	11314	17368	NA	14538	11907	18704	NA	14327	NA	13242	10506
gene35_pep12	357	NA	NA	NA	328	NA	NA	NA	NA	NA	NA	NA
gene36_pep4	6689085	6615240	3231727	1734835	3283263	2018963	NA	5767363	3775222	4930723	6727362	5102541
gene36_pep7	72605	96735	118668	90483	49068	73252	152915	19930	156843	72669	90651	135196
gene37_pep11	4219	NA	NA	3935	3582	NA	10734	9434	2525	10746	NA	NA
gene38_pep8	32572900	59631768	26096812	25865307	109326	49548142	7253987	926306	48846480	55941926	1090688	767356
gene39_pep1	135990	142857	146138	115773	126108	136576	164535	122499	204071	102985	193650	NA
gene39_pep9	35212	37254	36036	26528	26120	31101	32042	36761	44649	32344	35289	47574
gene39_pep10	96263	NA	280573	16424	NA	80607	155319	91218	NA	124796	227582	274075
gene40_pep13	30428593	45698689	13671628	25068841	65683935	54239459	35728667	23978310	30858984	21530719	8191042	29933344
gene41_pep1	39577	NA	35094	32625	26424	29157	44054	50057	31647	NA	NA	NA
gene41_pep6	949089	821410	800804	566720	946492	1002918	986692	1048339	1007913	912109	859462	837001
gene41_pep8	752667	895952	73812	127108	523573	388507	1226685	NA	626593	493860	459962	274115
gene41_pep13	560129	292234	242398	849625	439175	327834	564521	292619	141985	294396	247329	438277
gene42_pep3	797163	NA	324339	447913	476909	420958	506130	188832	514624	407756	278484	496449
gene42_pep6	NA	117923	129969	NA	68385	224568	210084	84569	NA	64926	204185	46950
gene42_pep8	409358	67890	169899	673881	539230	420449	252634	31026	583712	33114	445079	217475
gene42_pep10	14085222	8391926	14292860	9454984	5272520	4187085	1759880	5998702	9159273	3282962	14659948	14371179
gene43_pep3	NA	NA	18731	2950	8165	NA	33977	14519	NA	31780	NA	15106
gene43_pep5	321155	76683	478150	89874	316917	597850	262266	760573	839369	1082381	560987	297382
gene43_pep10	14497529	12811871	27012259	15827920	4521935	10637914	12723043	17361390	9231515	31436505	42745497	28639314
gene43_pep11	1257	NA	NA	NA	NA	466	NA	NA	1471	NA	NA	NA
gene44_pep4	28723	24355	17862	10140	25202	20420	NA	NA	21815	NA	NA	NA
gene44_pep10	1463	1267	NA	NA	666	NA	708	107750	878	NA	1326	484
gene44_pep14	781030	945760	275043	14627	759236	1077313	427372	844552	158536	964657	1423599	1305400
gene45_pep1	3718597	5193945	1540516	4981456	3393697	5875851	5350653	2658518	7661276	NA	8963630	8308010
gene45_pep3	76916	34667	NA	39808	NA	43181	NA	44317	129785	83515	82411	53695
gene45_pep5	41946	31835	39662	42348	73968	NA	NA	20664	82918	80416	114689	100889
gene45_pep6	209471	334595	431290	247967	194790	275143	231696	350275	151378	519874	274049	411301
gene45_pep9	96596	18072	NA	10723	28745	28140	65764	35976	9699	NA	1201101	43976
gene46_pep3	NA	13097	NA	9455	NA	14708	5823	5743	NA	4845	NA	NA
gene46_pep4	35890	25074	47762	NA	31405	31358	17844	8182	20965	NA	NA	NA
gene46_pep13	4356936	3709281	3474021	2953803	2515146	3621561	2667377	1541700	1987148	1534737	1356811	1533384
gene46_pep15	NA	7978	13087	20093	19190	9678	8150	29312	10484	NA	4325	7049
gene47_pep2	136111028	77480035	135917191	55816573	29134073	60770251	80910252	145084170	62489878	104227736	156009749	145517600
gene47_pep8	2947183	4349567	NA	1631410	9267965	7307739	6852818	6684389	5405845	4678170	6209431	5049301
gene48_pep1	1457919	1144408	709458	2258958	1527002	1377819	445937	NA	3256623	4015865	889830	1598370
gene48_pep11	21043	NA	NA	20867	49373	28650	79870	NA	61625	111081	105694	67612
gene48_pep12	47478	107087	NA	NA	106092	NA	206081	NA	138220	NA	199436	NA
gene49_pep10	168205	151090	NA	349782	236358	226160	190495	268423	NA	309603	NA	219395
gene49_pep11	NA	18929362	30293281	41606779	NA	7519029	26736239	63720860	26638635	29838186	12605400	1375125
gene49_pep14	1207	NA	4841	2328	5736	4809	NA	NA	7441	2793	6930	NA
gene50_pep4	217440	444907	329535	302049	163447	315806	175720	125237	NA	71936	NA	156617
gene50_pep6	NA	208409	2776696	4432464	2397379	188771	1317382	1967004	1423527	728984	609154	1794555
gene51_pep3	4913	28662	139555	NA	38182	NA	46969	23805	27662	NA	21121	38159
gene51_pep13	1054936	1223444	944681	NA	875330	953021	1023594	1424102	1010586	1399664	1225715	1147707
gene51_pep14	61140	NA	96002	127360	45085	NA	146076	100550	51650	36750	27422	60279
gene52_pep6	NA	NA	64262	91420	71642	32294	115002	80292	56149	64767	NA	89628
gene52_pep9	515520	452445	338269	373948	393595	494214	268260	NA	416582	490146	358934	365668
gene53_pep10	24742	NA	19085	9226	23319	18507	22778	22841	20126	NA	19947	21285
gene53_pep14	65194	30408	NA	NA	46469	NA	63391	NA	28004	77201	58643	14410
gene54_pep2	49208	NA	38322	NA	26742	NA	NA	30815	38300	NA	44404	46653
gene54_pep6	1695722	1233893	859074	1672505	1803503	1531941	1586745	2514226	1413894	1847618	2215584	1657486
gene54_pep8	173374	NA	10200	105216	176747	86476	106515	105964	99057	99626	18522	24539
gene54_pep12	11806685	27220146	7907217	39818615	10774151	27848223	17243416	16824823	30332764	12488629	33493585	6216886
gene54_pep15	211625	113767	119571	42015	195568	59840	130914	61115	NA	148105	104343	129351
gene55_pep6	53380	55840	65497	57734	31154	25910	1556241	75115	NA	NA	NA	36474
gene55_pep8	2140630	2386471	567580	452466	474471	1770034	1665815	1251629	1482508	NA	1390317	212394
gene55_pep11	124827	133345	135525	190808	38032	81118	55597	158837	113319	102168	NA	50082
gene55_pep13	10882	54633	71951	19872	NA	35650	14259	57154	66879	5889	45220	NA
gene55_pep14	9411895	13956641	4502435	8215974	NA	7677740	6275791	8155129	6567231	12743521	NA	NA
gene55_pep15	306732	393866	841325	605261	717328	267329	45271	206881	298632	NA	179645	336391
gene56_pep6	68187	4323	NA	NA	NA	6965	17296	9915	NA	3860	NA	NA
gene56_pep9	4436760	10435	3955	NA	6219	5073	NA	6936	3365	NA	2669	9326
gene57_pep1	6702	93703	59648	16401	65619	35858	65429	93219	66974	191292	59202	37071
gene57_pep3	380	1603	2568	2925	2211	2336	NA	NA	NA	2077	NA	NA
gene57_pep7	NA	15574	11883	19821	NA	NA	16569	14123	15840	NA	20592	19682
gene57_pep9	4010	NA	3471	NA	1417	NA	4916	2252	4998	NA	1916	NA
gene57_pep12	9798281	3814091	2231355	2274402	4511037	7453992	3471220	4030373	2519566	NA	4286194	7603183
gene57_pep13	NA	NA	NA	NA	NA	509	NA	NA	NA	NA	NA	NA
gene58_pep2	1081429	469573	676005	1036695	758278	839101	766692	905885	1039341	820610	887843	662320
gene58_pep3	19574	35266	48720	36934	35491	16061	NA	45682	3505	NA	9180	9122
gene58_pep4	7826254	8686030	7393882	8207423	6669116	6112269	10280125	7269725	6755644	7505682	6598575	6322342
gene58_pep6	173118	NA	19801	14108	NA	15630	NA	8413	NA	19108	NA	17072
gene58_pep12	1246914	1024251	602703	1042706	961760	999362	757373	758303	1059020	2028453	985387	NA
gene59_pep2	1839	NA	50471	NA	NA	2158	4816	NA	12879	45025	NA	6049
gene60_pep2	136643	92295	57888	101454	91056	192811	167409	NA	43782	115741	118241	NA
gene60_pep3	2678	95990	152925	121981	161205	128807	91856	93497	130207	66451	41881	39602
gene60_pep4	1819289	809999	1932623	2718140	2328454	2152620	2401998	961128	1134076	2937598	2469501	1536498
gene60_pep8	5252	1490	NA	1300	NA	NA	5640	658	1282	NA	NA	230854
gene60_pep13	266165	909356	1567532	750058	720837	563152	1323080	568565	630105	913517	530962	1187392
gene61_pep4	58788	98773	18049	52487	67831	NA	143545	NA	67837	75131	40501	13925
gene61_pep12	23790	27115	19110	NA	30641	29282	13636	52263	NA	NA	NA	15401
gene62_pep1	2055	1465	NA	NA	NA	NA	NA	NA	NA	NA	2328	NA
gene62_pep5	286548	337187	380620	296896	378113	382851	327010	242542	325281	367620	NA	333441
gene62_pep11	5889581	2928394	1245646	44003	NA	4302701	NA	2054106	1471348	1713844	4427406	2434047
gene64_pep3	28374	21338	NA	34312	36551	27984	68267	61057	63885	63392	78833	63721
gene64_pep8	NA	671039	402	739	NA	NA	3556	NA	NA	2791	NA	NA
gene64_pep11	717781	108044	148616	808497	NA	90781	941552	613343	914241	415984	NA	1714341
gene65_pep7	NA	NA	NA	3311489	5858	6520	452740	10959	52430	10376	20197	2240671
gene65_pep12	NA	92636	127147	NA	109968	114381	NA	78297	99420	83890	NA	98934
gene66_pep10	3500	NA	5680	NA	NA	NA	4409	4425	NA	NA	4056	3060
gene66_pep11	6478982	181685	NA	4944268	2738175	2926492	8329975	1094298	5725230	NA	NA	4284049
gene66_pep14	22372	53306	39984	62107	93311	32927	40829	37904	NA	NA	41007	NA
gene67_pep1	97018	404076	508022	39667	50172	72197	NA	593620	369721	394394	34883	461997
gene67_pep4	NA	2093	NA	NA	5364	NA	NA	5041	3475	2555	NA	NA
gene67_pep11	267021	145995	225388	121260	252049	85848	385351	326931	171656	192916	221478	90478
gene68_pep3	241848	87745	134896	624382	231825	352333	258246	NA	245220	182834	189943	147003
gene68_pep4	85254	58155	72579	34074	95304	NA	NA	NA	75242	50071	46532	NA
gene68_pep8	297453	561186	344492	351920	475045	732104	NA	637084	128670	622222	637744	344811
gene68_pep10	NA	9628	3520	NA	NA	12198	8731	NA	9080	NA	9160	10950
gene69_pep7	156040	NA	98196	187854	126206	112428	101183	87107	38976	104382	107035	NA
gene69_pep8	2456819	1887654	1550503	2937595	1259498	737673	663314	1762481	2131456	2651699	2218318	915210
gene69_pep10	186247	249303	225345	90671	135661	NA	NA	NA	183785	225697	264892	205916
gene69_pep12	NA	NA	NA	5257	NA	4734	6227	3386	NA	1951	NA	NA
gene70_pep1	1013392	1142117	518318	466587	32800	1686534	991573	398274	915295	NA	732106	11574
gene70_pep5	378430	524076	3304	NA	457738	295104	NA	266968	NA	336649	336621	360320
gene70_pep7	3813	NA	3925	NA	4072	NA	4111	NA	3412	3957	NA	NA
gene70_pep13	36292	30959	95575	26942	39684	10214	51126	44288	84055	59546	61633	13173
gene71_pep1	134273	167340	84904	69275	NA	65714	43206	32381	20191	NA	31088	NA
gene71_pep12	15526	44468	NA	NA	NA	35134	16461	20651	NA	8829	NA	190410
gene71_pep15	8828	NA	184396	246987	419795	236310	232705	124814	134697	196123	NA	267883
gene72_pep4	2050	4429	NA	NA	NA	NA	NA	NA	1092	NA	371	NA
gene72_pep9	125218	82066	38836	43874	170280	61510	22405	41915	12939	28861	13119	NA
gene73_pep2	1533380	3326208	1979172	863391	1713176	3879339	2367099	977010	2306590	1884410	3300222	2275767
gene73_pep4	18548	NA	16859	4466	11308	NA	4411	NA	14618	7611	NA	NA
gene73_pep15	294731	272692	665159	NA	1008889	287545	213850	632680	274938	480154	646800	594170
gene74_pep2	974	NA	NA	312	NA	NA	558	NA	NA	NA	434	NA
gene74_pep6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene74_pep10	2921995	1333048	2022740	2168864	1782159	NA	1110228	1115007	888005	994029	1140434	858361
gene74_pep15	40465	43473	NA	21779	28853	48414	25384	30817	13142	19543	NA	29481
gene75_pep4	NA	104492	21617	NA	NA	NA	38765	31780	NA	48762	19362	49983
gene75_pep6	95597	85901	25821	42823	34911	NA	63274	49426	110974	44423	58825	99060
gene75_pep9	NA	25270	300129	11486	20590	22190	18394	NA	27605	NA	NA	40454
gene76_pep2	NA	13587	NA	16358	NA	18581	26315	31134	29821	31136	36317	NA
gene76_pep3	156803	216776	134229	238880	202332	194834	138193	271027	203707	321049	191223	295235
gene76_pep8	15267	24525	NA	18784	18224	14352	29432	52160	44232	45825	22027	29392
gene76_pep12	NA	1754	34411	11595	367835	41888	NA	NA	415	129927	106944	21675
gene76_pep13	104945	222255	15757	35911	638836	264207	904087	928603	936886	786602	650408	1056962
gene77_pep8	9642449	6161307	5624269	8381021	5698558	8605056	3203322	4022524	8518215	5663138	7210912	4300378
gene77_pep10	NA	NA	1919	NA	NA	NA	2283	946	NA	NA	NA	NA
gene77_pep13	284	NA	NA	293000	NA	NA	NA	507	NA	484	NA	NA
gene78_pep8	45139	53955	62608	96470	86105	52460	29564	56592	75804	60724	42913	85267
gene78_pep12	1264872	984867	2943383	382279	356913	NA	434588	2676192	1528232	787009	507694	828491
gene79_pep7	NA	27021	14025	3103	23836	NA	18662	NA	24498	32842	4103	NA
gene79_pep11	34857	43694	19660	13113	NA	NA	55276	18998	21251	40623	34869	21067
gene79_pep15	223510	NA	NA	241135	NA	239617	223130	201214	188676	227442	242850	NA
gene80_pep8	73563	82570	81214	64488	67467	78081	51960	54023	NA	65399	NA	62635
gene80_pep12	NA	18276	NA	287091	NA	6161	4747	NA	NA	NA	13873	10818
gene80_pep14	1061	NA	NA	NA	4181	NA	NA	NA	6387	2218	NA	3063
gene81_pep2	NA	48888	53974	41971	NA	32292	NA	NA	40333	35979	NA	38199
gene81_pep6	NA	6026	NA	3102	4617	NA	NA	3545	3077	NA	270187	NA
gene81_pep12	84612	80967	NA	136874	154045	134979	105433	41053	1803	94308	95594	117526
gene82_pep6	NA	29951	NA	NA	29585	NA	NA	NA	47262	50178	50680	62160
gene82_pep7	NA	7847	NA	7075	2416	NA	15169	19565	15406	18992	NA	16278
gene82_pep10	119116	NA	84268	48159	81625	148797	NA	130982	894	NA	76570	297547
gene82_pep15	NA	NA	NA	NA	55	NA	NA	NA	328	NA	NA	NA
gene83_pep6	NA	6442	NA	NA	10981	5452	20757	25579	21520	5075	NA	8770
gene83_pep11	13534	156324	235013	101981	153890	210895	177030	18722	397161	234880	386263	NA
gene83_pep12	19615	28876	NA	21542	23170	21965	63717	52972	54340	45521	35126	34664
gene83_pep15	68331	71811	90314	88055	NA	82645	201389	134810	148927	121956	193313	NA
gene84_pep3	2376708	2547122	3544741	4592743	1354182	1904867	3046056	NA	2307364	4120324	3112309	2004227
gene84_pep5	83406	35526	119443	13775	58295	52779	53597	84238	63348	NA	74260	101054
gene84_pep9	20917	NA	104031	138259	NA	165131	47076	132135	111325	196867	140204	151239
gene84_pep12	21580503	34987696	23998595	18260606	45117404	34098393	29803362	27469897	43608199	31630433	27536385	NA
gene84_pep13	50658	NA	NA	14487	53700	64515	86914	54880	59535	25531	29530	55299
gene86_pep9	1290	NA	NA	7613	NA	NA	28757	NA	NA	4787	2930	4811
gene88_pep1	763580	402548	896330	403217	839889	373153	1358359	1457760	907956	1084316	2354760	2132955
gene88_pep9	47817	NA	17381	5243	40213	64054	76256	39099	78017	103240	90915	128510
gene88_pep11	74535	91912	131394	211116	134375	116846	251461	235610	251567	94863	400827	409788
gene88_pep14	8711	7098	4762	NA	NA	18178	22938	NA	13156	NA	24343	NA
gene89_pep12	3071323	2597561	2568812	1902305	1884455	1275327	479812	165998	1518010	2814475	NA	3522713
gene89_pep13	629378	650519	437926	579963	446110	342181	294234	249778	392755	545465	415512	410822
gene89_pep15	9405	7058	13327	NA	4795	NA	20519	NA	11232	NA	11386	9009
gene90_pep8	98449	218134	1874858	1415506	3543764	1098987	1178603	1273218	621029	976673	1371643	187650
gene90_pep14	136592	179752	2930100	159068	146021	NA	91604	119705	64559	NA	28523	225342
gene91_pep7	347513	NA	NA	190770	273376	467174	79006	160787	NA	355705	228764	32962
gene91_pep12	NA	NA	NA	234	NA	NA	NA	NA	NA	NA	NA	NA
gene92_pep4	613814	803282	628574	948918	1368927	621348	502970	554017	360348	11115	402885	137945
gene92_pep10	56172	38890	NA	56948	39719	8386	NA	NA	10165	27628	NA	17296
gene92_pep12	NA	NA	4202	NA	3202	NA	NA	500	NA	1024	NA	NA
gene92_pep13	111175	126459	140517	152258	87553	178040	NA	NA	66662	75915	74931	45522
gene93_pep2	34776	NA	25209	23792	17608	21946	NA	38077	27622	24195	29138	39953
gene93_pep15	2068033	582688	4519656	3986288	3897936	4640019	1143285	1542444	3905905	24871	1401534	658035
gene94_pep8	4978	NA	NA	NA	NA	583266	3612	NA	NA	3980683	NA	260
gene94_pep15	NA	801721	800775	608573	384825	887498	148362	191090	NA	296485	NA	474860
gene95_pep1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1633	NA	NA
gene95_pep2	9432	3661	171399	NA	2216604	NA	NA	NA	NA	NA	NA	2981
gene95_pep3	180962	173196	NA	321877	242635	250370	120535	NA	288324	252378	233112	358365
gene95_pep4	NA	29556	NA	NA	16945	53462	31771	24637	NA	29460	62106	5294
gene95_pep7	7636	NA	NA	6514	NA	NA	7124	9293	NA	NA	NA	NA
gene95_pep8	107130	99232	73468	158230	105263	64968	NA	119023	NA	130184	139122	146521
gene96_pep1	1773	NA	2094	2153	NA	NA	NA	NA	NA	NA	4684	1530
gene96_pep8	22944	21144	24143	NA	24495	NA	12928	NA	22450	19556	NA	26849
gene96_pep11	NA	1898	NA	NA	NA	1501	NA	NA	NA	NA	NA	NA
gene96_pep14	194441	402466	189526	391495	NA	177712	234794	392762	NA	228601	367614	333206
gene97_pep9	NA	NA	NA	NA	NA	NA	404	NA	56062	NA	NA	NA
gene98_pep4	76239	NA	66879	40246	64544	NA	21663	12253	64840	22210	60877	NA
gene98_pep9	NA	NA	2235	NA	394415	NA	1669	NA	NA	NA	NA	3846
gene98_pep12	62597	81499	96655	55966	249207	116769	41067	123177	137448	145463	98873	NA
gene99_pep2	9998	10788	15219	NA	20571	12646	31546	NA	23054	50364	NA	NA
gene99_pep8	NA	21623	30825	22088	9197	52853	13927	41617	NA	21237	62688	26820
gene99_pep9	NA	36358	NA	NA	76729	54440	98139	97827	54050	129180	184162	47264
gene99_pep11	NA	NA	NA	269583	NA	8220	9746	NA	NA	19693	NA	NA
