pep	gene	mean1	mean2	cv
gene22_pep2	gene22	628580.137064299	628580.137064299	0.438493459657967
gene22_pep15	gene22	192437.310666579	192437.310666579	0.601419875364468
gene23_pep6	gene23	24571857.8846256	24571857.8846256	1.08623366975183
gene24_pep8	gene24	211519.315947055	423038.63189411	0.270879754823098
gene24_pep10	gene24	346.681717336245	693.36343467249	0.523352587850254
gene24_pep11	gene24	123456.450342867	246912.900685733	0.171672985730222
gene24_pep12	gene24	183386936.686743	366773873.373486	0.872569804598579
gene24_pep13	gene24	2246.95152082984	4493.90304165967	0.858706634789211
gene25_pep1	gene25	2520159.17956959	5040318.35913918	0.380520591515925
gene25_pep13	gene25	107845.028470162	215690.056940324	0.431329458587962
gene25_pep14	gene25	513.740251696701	1027.4805033934	0.560265504065112
gene26_pep3	gene26	88329664.3412842	88329664.3412842	0.208038209621838
gene26_pep10	gene26	27603.8176088342	27603.8176088342	1.72180217820149
gene26_pep14	gene26	3242.50636692865	3242.50636692865	0.702503813538315
gene27_pep2	gene27	52103.2147355251	52103.2147355251	0.913186575176196
gene27_pep6	gene27	491391.694837534	491391.694837534	0.288438781829384
gene27_pep12	gene27	56129.5001332379	56129.5001332379	0.165967981954403
gene28_pep2	gene28	3823227.56384407	3823227.56384407	0.237974939283675
gene28_pep4	gene28	812399.447289954	812399.447289954	1.0413274001697
gene28_pep6	gene28	16737.1606010265	16737.1606010265	0.360857407388542
gene28_pep9	gene28	5739.76649147664	5739.76649147664	0.867297232563089
gene28_pep13	gene28	96561.7627842879	96561.7627842879	0.295437616545045
gene28_pep14	gene28	102877.289281585	102877.289281585	0.188936989527153
gene29_pep6	gene29	795.866755212675	795.866755212675	0.463790041292705
gene29_pep8	gene29	910566.952903121	910566.952903121	0.878976352646408
gene29_pep13	gene29	46467.1252949711	46467.1252949711	0.565589774183903
gene30_pep8	gene30	16819.7302490074	16819.7302490074	0.396134913777326
gene30_pep14	gene30	10561.7362338825	10561.7362338825	0.260595538863715
gene31_pep14	gene31	168070.399270656	168070.399270656	0.661179972434087
gene32_pep3	gene32	3868.50381798404	3868.50381798404	0.235874090155697
gene32_pep5	gene32	117587.767057393	117587.767057393	0.608114527747986
gene32_pep9	gene32	141450.835908855	141450.835908855	1.34870739000248
gene32_pep10	gene32	50199.517948308	50199.517948308	0.434446905952523
gene32_pep12	gene32	455902.718808915	455902.718808915	0.702865916401079
gene32_pep14	gene32	33291.1612671605	33291.1612671605	0.290587257199675
gene32_pep15	gene32	6228.58587305116	6228.58587305116	0.372966273495687
gene33_pep2	gene33	37879.9720104953	37879.9720104953	0.785071719423354
gene33_pep3	gene33	20799.3858236779	20799.3858236779	1.13420684243729
gene33_pep7	gene33	8334.20285200565	8334.20285200565	0.276625051683789
gene33_pep10	gene33	31959.9083449238	31959.9083449238	0.879423784928114
gene33_pep11	gene33	2362.96073446366	2362.96073446366	0.454096879991426
gene33_pep12	gene33	369655.928632733	369655.928632733	0.31548392205889
gene34_pep5	gene34	3205.0217363574	6410.04347271481	0.197390624060884
gene34_pep6	gene34	1388630.74343894	2777261.48687787	0.250028825210409
gene35_pep4	gene35	40670.5086710402	40670.5086710402	0.518195870586766
gene35_pep6	gene35	23390.2107286623	23390.2107286623	0.661659867622299
gene35_pep7	gene35	12498.5381483159	12498.5381483159	0.293468914627125
gene35_pep12	gene35	249.129756132949	249.129756132949	0.559217775793499
gene36_pep4	gene36	2748543.65973647	2748543.65973647	1.4372460502619
gene36_pep7	gene36	104301.278711573	104301.278711573	0.362709404648771
gene37_pep11	gene37	5035.69036283756	10071.3807256751	0.283668596638989
gene38_pep8	gene38	23989444.7243307	23989444.7243307	1.15548126678568
gene39_pep1	gene39	193910.824628367	193910.824628367	0.335291029351069
gene39_pep9	gene39	29585.9991427994	29585.9991427994	0.312507594339433
gene39_pep10	gene39	138898.335967807	138898.335967807	0.590179474122901
gene40_pep13	gene40	34733483.9987729	34733483.9987729	0.516222422290381
gene41_pep1	gene41	30454.4163600432	30454.4163600432	0.388813168759162
gene41_pep6	gene41	863269.526634838	863269.526634838	0.134863014984937
gene41_pep8	gene41	381845.98516353	381845.98516353	0.867452295443596
gene41_pep13	gene41	411316.69918075	411316.69918075	0.512951238144645
gene42_pep3	gene42	573559.472520013	573559.472520013	0.309868264951253
gene42_pep6	gene42	131077.904543295	131077.904543295	0.544387512254998
gene42_pep8	gene42	283991.010048708	283991.010048708	1.01082813416167
gene42_pep10	gene42	8194485.8823911	8194485.8823911	0.484581344081308
gene43_pep3	gene43	10208.0932690753	20416.1865381506	0.45479194511471
gene43_pep5	gene43	250699.028512334	501398.057024668	0.59259559271076
gene43_pep10	gene43	13290836.9806362	26581673.9612723	0.46796899297831
gene43_pep11	gene43	712.61879137697	1425.23758275394	0.424261826967916
gene44_pep4	gene44	18800.8669261728	18800.8669261728	0.349112437431359
gene44_pep10	gene44	880.891356124124	880.891356124124	0.563237770662839
gene44_pep14	gene44	783567.841854156	783567.841854156	0.51602437582333
gene45_pep1	gene45	3971078.88646133	7942157.77292266	0.308308603827759
gene45_pep3	gene45	29877.1881612074	59754.3763224149	0.479059433852853
gene45_pep5	gene45	29875.5309078333	59751.0618156667	0.892933607087315
gene45_pep6	gene45	216772.123603685	433544.247207369	0.384324605215229
gene45_pep9	gene45	13104.7694215648	26209.5388431295	0.723056444825204
gene46_pep3	gene46	10255.7554099602	5127.87770498008	0.456569376057278
gene46_pep4	gene46	32060.6156538969	16030.3078269485	0.403431228011606
gene46_pep13	gene46	3458713.93868916	1729356.96934458	0.219838221817692
gene46_pep15	gene46	11587.8536606007	5793.92683030033	0.727778061073038
gene47_pep2	gene47	98675455.4982425	98675455.4982425	0.51360381536722
gene47_pep8	gene47	4153115.90921886	4153115.90921886	0.517087192396854
gene48_pep1	gene48	1064671.72504242	2129343.45008485	0.585501562348571
gene48_pep11	gene48	35932.3803851269	71864.7607702538	0.531671246027182
gene48_pep12	gene48	84732.428047504	169464.856095008	0.460197205578429
gene49_pep10	gene49	256701.215171505	256701.215171505	0.416485553684921
gene49_pep11	gene49	24619556.711156	24619556.711156	1.08664468520871
gene49_pep14	gene49	4431.64736638568	4431.64736638568	0.582576752870015
gene50_pep4	gene50	274167.345979601	137083.672989801	0.437084212297687
gene50_pep6	gene50	2386758.75649841	1193379.3782492	0.780292273632889
gene51_pep3	gene51	15780.6351335709	15780.6351335709	1.06230921068938
gene51_pep13	gene51	1080845.76554606	1080845.76554606	0.334281263635092
gene51_pep14	gene51	61195.5148540871	61195.5148540871	0.777223781726709
gene52_pep6	gene52	50065.2106778863	50065.2106778863	0.588412973394851
gene52_pep9	gene52	411950.823972391	411950.823972391	0.247207841157526
gene53_pep10	gene53	19832.8174996192	19832.8174996192	0.220781402531563
gene53_pep14	gene53	62434.1256584106	62434.1256584106	0.43003087138131
gene54_pep2	gene54	41365.2103168152	41365.2103168152	0.418384743714145
gene54_pep6	gene54	1643243.6330545	1643243.6330545	0.227667731025175
gene54_pep8	gene54	97105.6304489573	97105.6304489573	0.550587026294253
gene54_pep12	gene54	15338661.0662096	15338661.0662096	0.676586884483052
gene54_pep15	gene54	111558.514758376	111558.514758376	0.762635685031387
gene55_pep6	gene55	41201.6604324071	41201.6604324071	0.462661059619114
gene55_pep8	gene55	1086847.17233034	1086847.17233034	0.82661932920919
gene55_pep11	gene55	86106.5687759773	86106.5687759773	0.790958314095435
gene55_pep13	gene55	57458.8223332038	57458.8223332038	0.538814763312867
gene55_pep14	gene55	6994395.2377339	6994395.2377339	0.457537068381889
gene55_pep15	gene55	379014.93062888	379014.93062888	0.523706357268135
gene56_pep6	gene56	9333.0190298286	9333.0190298286	0.680655991667866
gene56_pep9	gene56	5681.11725444797	5681.11725444797	0.697187462671271
gene57_pep1	gene57	55957.8493993719	55957.8493993719	0.584086201781166
gene57_pep3	gene57	1868.19996614913	1868.19996614913	0.377038697420455
gene57_pep7	gene57	13104.4196528303	13104.4196528303	0.580307270562678
gene57_pep9	gene57	2713.64316943313	2713.64316943313	0.635451319134526
gene57_pep12	gene57	5779397.18893937	5779397.18893937	0.542280462969153
gene57_pep13	gene57	414.210448379722	414.210448379722	0.419959711033242
gene58_pep2	gene58	819904.927123035	819904.927123035	0.166655048811434
gene58_pep3	gene58	28864.2215988846	28864.2215988846	0.680374517664585
gene58_pep4	gene58	7405125.76920451	7405125.76920451	0.200161260945592
gene58_pep6	gene58	14491.0277569811	14491.0277569811	0.396202499666345
gene58_pep12	gene58	1119413.72140348	1119413.72140348	0.341827573523804
gene59_pep2	gene59	3574.52627048749	3574.52627048749	0.547463368205628
gene60_pep2	gene60	100876.56825672	100876.56825672	0.57972724722464
gene60_pep3	gene60	87450.4062344493	87450.4062344493	0.520345867309236
gene60_pep4	gene60	1493988.98215992	1493988.98215992	0.652878933694264
gene60_pep8	gene60	1506.95880505558	1506.95880505558	0.990853432233858
gene60_pep13	gene60	1007824.01843805	1007824.01843805	0.416154360342098
gene61_pep4	gene61	42703.9415456892	42703.9415456892	0.97850755575454
gene61_pep12	gene61	24436.392490754	24436.392490754	0.810660089419864
gene62_pep1	gene62	1941.44300515791	1941.44300515791	0.373933100998795
gene62_pep5	gene62	335594.208094935	335594.208094935	0.191441902879025
gene62_pep11	gene62	2556874.3457587	2556874.3457587	0.965113424156843
gene64_pep3	gene64	32826.4723485382	65652.9446970763	0.215261433930175
gene64_pep8	gene64	589.722013998548	1179.4440279971	1.39688797692833
gene64_pep11	gene64	563896.671690035	1127793.34338007	0.725596025206878
gene65_pep7	gene65	9088.24946408945	9088.24946408945	0.738783059119485
gene65_pep12	gene65	107764.340044811	107764.340044811	0.190011959936941
gene66_pep10	gene66	4185.62454340587	4185.62454340587	0.224554480766967
gene66_pep11	gene66	1919149.45188161	1919149.45188161	2.31461794871203
gene66_pep14	gene66	49758.2505532725	49758.2505532725	0.48798098392802
gene67_pep1	gene67	276304.439974391	276304.439974391	0.787783817279166
gene67_pep4	gene67	2978.44670588227	2978.44670588227	0.454527275865599
gene67_pep11	gene67	198244.829706777	198244.829706777	0.607500613836918
gene68_pep3	gene68	187357.168107661	187357.168107661	0.863903962601034
gene68_pep4	gene68	60044.7578124916	60044.7578124916	0.300013942677498
gene68_pep8	gene68	441844.073617848	441844.073617848	0.413381695746496
gene68_pep10	gene68	8364.45251923576	8364.45251923576	0.288978482581388
gene69_pep7	gene69	78241.8883036912	78241.8883036912	0.674774694977276
gene69_pep8	gene69	1798236.97407438	1798236.97407438	0.410254294430058
gene69_pep10	gene69	192000.348205913	192000.348205913	0.268400174964103
gene69_pep12	gene69	3347.27552797016	3347.27552797016	0.816996094105086
gene70_pep1	gene70	443089.328028623	443089.328028623	1.46206222739779
gene70_pep5	gene70	235564.778238867	235564.778238867	0.97286202338167
gene70_pep7	gene70	3286.61685562344	3286.61685562344	0.372853005214888
gene70_pep13	gene70	51353.3101168949	51353.3101168949	0.451627034386961
gene71_pep1	gene71	61909.6185611063	30954.8092805531	0.615414137698352
gene71_pep12	gene71	29658.3177663064	14829.1588831532	0.627912321786071
gene71_pep15	gene71	266919.899436345	133459.949718173	0.779646834788506
gene72_pep4	gene72	2469.94066056225	1234.97033028113	0.556287591809524
gene72_pep9	gene72	53718.6626299897	26859.3313149948	0.530197478236089
gene73_pep2	gene73	2482105.21855104	2482105.21855104	0.337459877761535
gene73_pep4	gene73	11605.542806781	11605.542806781	0.502960684762962
gene73_pep15	gene73	493816.294161194	493816.294161194	0.530775657025813
gene74_pep2	gene74	611.399238242671	305.699619121335	0.577603562429454
gene74_pep6	gene74	1745.65876855363	872.829384276813	0.324062574211077
gene74_pep10	gene74	2130218.28096078	1065109.14048039	0.27748278437844
gene74_pep15	gene74	48948.7241431281	24474.362071564	0.431354658475157
gene75_pep4	gene75	42547.037372842	42547.037372842	0.517603619541412
gene75_pep6	gene75	62251.1157719127	62251.1157719127	0.506216000774906
gene75_pep9	gene75	19558.2279119453	19558.2279119453	0.593815505057332
gene76_pep2	gene76	17299.9656033367	34599.9312066734	0.245781054073036
gene76_pep3	gene76	157932.675180897	315865.350361793	0.267472853855078
gene76_pep8	gene76	17374.2248381374	34748.4496762749	0.371232901285328
gene76_pep12	gene76	19649.7120312449	39299.4240624898	1.25566830421623
gene76_pep13	gene76	311019.739753752	622039.479507504	0.767541857030654
gene77_pep8	gene77	6410934.22638994	6410934.22638994	0.394052684422256
gene77_pep10	gene77	1480.24660623253	1480.24660623253	0.404002209817957
gene77_pep13	gene77	411.207203944939	411.207203944939	1.03090729898912
gene78_pep8	gene78	49160.7979895245	49160.7979895245	0.466507544620527
gene78_pep12	gene78	1145612.58421599	1145612.58421599	0.946518290506282
gene79_pep7	gene79	19986.6743991552	19986.6743991552	0.56892104775004
gene79_pep11	gene79	33501.2775486671	33501.2775486671	0.384112869189869
gene79_pep15	gene79	216679.405118486	216679.405118486	0.161419475641656
gene80_pep8	gene80	63937.356935602	63937.356935602	0.195172807296338
gene80_pep12	gene80	8416.12793621466	8416.12793621466	1.19037062177189
gene80_pep14	gene80	3597.03373857643	3597.03373857643	0.435542182866307
gene81_pep2	gene81	31571.9812391879	31571.9812391879	0.365509036179256
gene81_pep6	gene81	3323.58567239434	3323.58567239434	0.605760315249417
gene81_pep12	gene81	54627.5766251556	54627.5766251556	1.16162017527908
gene82_pep6	gene82	25543.0958665889	51086.1917331779	0.149262277088164
gene82_pep7	gene82	7198.60161739336	14397.2032347867	0.699065237823531
gene82_pep10	gene82	66297.2703637918	132594.540727584	1.04646372923654
gene82_pep15	gene82	110.450828034865	220.90165606973	0.389392482257055
gene83_pep6	gene83	9413.79285010544	18827.5857002109	0.567551547065059
gene83_pep11	gene83	119765.402871584	239530.805743168	0.699816657072229
gene83_pep12	gene83	23534.5750504433	47069.1501008865	0.276975578926415
gene83_pep15	gene83	75520.9414195058	151041.882839012	0.229478414941107
gene84_pep3	gene84	2432331.52534654	2432331.52534654	0.360522222362877
gene84_pep5	gene84	52164.8388544574	52164.8388544574	0.514836991453305
gene84_pep9	gene84	113055.35395369	113055.35395369	0.452365742523849
gene84_pep12	gene84	24563091.0668705	24563091.0668705	0.381698627935131
gene84_pep13	gene84	39561.0935364037	39561.0935364037	0.688253235817157
gene86_pep9	gene86	3350.62183462	3350.62183462	0.65951003951149
gene88_pep1	gene88	719381.324295467	1438762.64859093	0.360278709651612
gene88_pep9	gene88	44294.3430167047	88588.6860334095	0.726843482708194
gene88_pep11	gene88	146870.439194478	293740.878388957	0.320315142315315
gene88_pep14	gene88	8571.48523966698	17142.970479334	0.553902733625633
gene89_pep12	gene89	1783274.34852224	1783274.34852224	0.41498043531436
gene89_pep13	gene89	419981.166888602	419981.166888602	0.347598472373381
gene89_pep15	gene89	8087.86504907929	8087.86504907929	0.663429689158652
gene90_pep8	gene90	938101.300296403	938101.300296403	0.635479766071532
gene90_pep14	gene90	97279.5485007597	97279.5485007597	0.77178588064184
gene91_pep7	gene91	221293.257775887	221293.257775887	1.011334263787
gene91_pep12	gene91	147.834522291924	147.834522291924	0.794946656873899
gene92_pep4	gene92	629331.35281016	314665.67640508	0.870677812568879
gene92_pep10	gene92	35764.3019870315	17882.1509935157	0.66584053319943
gene92_pep12	gene92	2702.3568939137	1351.17844695685	0.281595144369839
gene92_pep13	gene92	128794.588562493	64397.2942812463	0.400008170648838
gene93_pep2	gene93	26362.9012383507	26362.9012383507	0.275419943128754
gene93_pep15	gene93	2065711.01804814	2065711.01804814	0.804805778906343
gene94_pep8	gene94	3093.6710060257	1546.83550301285	0.841422025239916
gene94_pep15	gene94	547342.656084425	273671.328042213	0.503848281445771
gene95_pep1	gene95	611.091018154418	611.091018154418	1.04057472734039
gene95_pep2	gene95	4704.51423657191	4704.51423657191	0.898860847764797
gene95_pep3	gene95	224553.826640809	224553.826640809	0.365845415496665
gene95_pep4	gene95	35562.9113306207	35562.9113306207	0.538523880386076
gene95_pep7	gene95	7552.98134474563	7552.98134474563	0.319470738881249
gene95_pep8	gene95	110511.991464124	110511.991464124	0.224099283992601
gene96_pep1	gene96	2166.99082721415	2166.99082721415	0.500373813566866
gene96_pep8	gene96	19790.2277806626	19790.2277806626	0.219820739122704
gene96_pep11	gene96	1664.44296468366	1664.44296468366	0.35639725396207
gene96_pep14	gene96	226913.003350248	226913.003350248	0.535955003032197
gene97_pep9	gene97	573.564638723174	573.564638723174	0.612244699121682
gene98_pep4	gene98	42910.9551840579	42910.9551840579	0.649854804276152
gene98_pep9	gene98	2332.48424827167	2332.48424827167	0.79791421916084
gene98_pep12	gene98	131096.207623923	131096.207623923	0.560403820293079
gene99_pep2	gene99	6765.63422266492	13531.2684453298	1.27163921776553
gene99_pep8	gene99	19532.8871153427	39065.7742306854	0.647525199218273
gene99_pep9	gene99	65866.3767571428	131732.753514286	0.453661005894972
gene99_pep11	gene99	5770.25084649962	11540.5016929992	0.65266366379026
gene99_pep12	gene99	861952.519244573	1723905.03848915	0.504406698606098
gene100_pep2	gene100	2583.29342195369	1291.64671097685	0.735831734094488
gene100_pep4	gene100	11831.941795732	5915.97089786602	0.273009763939801
gene100_pep11	gene100	14071.1199525547	7035.55997627736	0.40929580193944
gene100_pep12	gene100	2338.77880867694	1169.38940433847	0.401909979412561
gene100_pep14	gene100	324390.0269369	162195.01346845	0.49852411504425
gene100_pep15	gene100	122035.336877427	61017.6684387133	0.730977103602938
